nume_actiune,timestamp
Creare Comanda,4/21/2024 12:31
Efectuare Plata,4/21/2024 12:31
nume_actiune,timestamp
Creare Comanda,4/24/2024 12:36
Efectuare Plata,4/24/2024 12:36
nume_actiune,timestamp
Creare Comanda,2024-04-24 16:11:32
Efectuare Plata,2024-04-24 16:11:32
nume_actiune,timestamp
Creare Comanda,2024-05-28 01:22:13
Efectuare Plata,2024-05-28 01:22:13
nume_actiune,timestamp
Creare Comanda,2024-05-28 01:22:36
Efectuare Plata,2024-05-28 01:22:36
nume_actiune,timestamp
Creare Comanda,2024-05-29 13:32:29
Efectuare Plata,2024-05-29 13:32:29
nume_actiune,timestamp
Creare Comanda,2024-05-29 13:45:06
Efectuare Plata,2024-05-29 13:45:06
nume_actiune,timestamp
Creare Comanda,2024-05-29 13:45:23
Efectuare Plata,2024-05-29 13:45:23
